ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
169,QC,411,6/15/2016,M,1.937,After,9/22/2016,1745,NMP,0,0,2,0,0,1,1,0,0,N
169,QC,411,6/15/2016,M,1.937,Before,9/22/2016,1400,NMP,3,1,4,0,0,3,1,0,0,N
170,QH,404,6/6/2016,M,2.025,After,9/22/2016,1730,NMP,0,1,41,0,0,1,0,0,0,N
170,QH,404,6/6/2016,M,2.025,Before,9/22/2016,1445,NMP,3,6,66,13,0,1,8,1,0,N
171,QC,401,4/21/2016,M,1.868,After,9/22/2016,1800,NMP,0,0,1,0,0,1,0,0,0,N
171,QC,401,4/21/2016,M,1.868,Before,9/22/2016,1420,NMP,0,0,8,0,0,2,1,0,0,N
172,QC,401,4/21/2016,M,1.727,Before,9/22/2016,1400,NMP,0,0,5,0,0,2,0,0,0,N
173,CQ,430,5/20/2016,M,1.733,After,9/22/2016,1745,NMP,0,0,10,1,0,2,0,0,0,N
173,CQ,430,5/20/2016,M,1.733,Before,9/22/2016,1420,NMP,1,0,7,1,0,2,0,0,0,N
174,QC,401,4/21/2016,M,1.747,After,9/22/2016,1800,NMP,0,0,5,0,0,1,0,0,0,N
175,QC,411,6/15/2016,M,1.769,After,9/22/2016,1800,NMP,4,0,14,0,0,5,0,0,0,N
175,QC,411,6/15/2016,M,1.769,Before,9/22/2016,1400,NMP,4,1,12,0,0,2,1,0,0,N
176,CM,404,6/10/2016,M,1.839,After,9/22/2016,1730,NMP,2,4,19,0,0,3,2,1,0,N
176,CM,404,6/10/2016,M,1.839,Before,9/22/2016,1445,NMP,7,0,17,0,0,5,0,1,0,N
177,CQ,414,6/17/2016,M,1.756,After,9/23/2016,1945,NMP,0,0,21,1,0,1,0,0,0,N
177,CQ,414,6/17/2016,M,1.756,Before,9/23/2016,1430,NMP,0,0,20,0,0,1,0,0,0,N
