ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,Forced_Cop_Attempt,G_Swing,Ignore,Lunge,Nip,Sigmoid,Suc_Forced_Cop,Suc_Sigmoid_Cop,TTSigmoid,TTAvgSigmoid,Copulated
76,CQ,435,5/28/2016,M,1.832,Before,9/8/2016,1250,NMP,2,9,14,6,9,2,0,0,0,0,0,N
76,CQ,435,5/28/2016,M,1.832,After,9/9/2016,830,QI,7,6,20,6,0,0,4,0,0,4.195,1.04875,N
77,QC,404,6/10/2016,M,1.582,Before,9/8/2016,1250,NMP,1,5,7,1,5,11,0,0,0,0,0,N
79,CQ,431,6/12/2016,M,1.621,Before,9/8/2016,1310,NMP,1,7,5,3,1,1,0,0,0,0,0,N
79,CQ,431,6/12/2016,M,1.621,After,9/9/2016,810,NMP,0,4,5,1,1,0,0,0,0,0,0,N
80,QC,404,6/10/2016,M,1.615,Before,9/8/2016,1310,NMP,2,10,10,2,9,10,0,0,0,0,0,N
80,QC,404,6/10/2016,M,1.615,After,9/9/2016,810,NMP,2,8,9,4,11,2,0,0,0,0,0,N
81,CQ,401,6/15/2016,M,1.817,Before,9/9/2016,1210,NMP,0,0,0,0,0,0,0,0,0,0,0,N
81,CQ,401,6/15/2016,M,1.817,After,9/10/2016,1000,NMP,1,0,5,3,0,0,0,0,0,0,0,N
83,CM,404,5/12/2016,M,1.965,Before,9/9/2016,1210,NMP,0,0,0,0,0,0,0,0,0,0,0,N
84,QC,434,6/1/2016,M,1.741,Before,9/9/2016,1210,NMP,0,0,0,1,0,0,0,0,0,0,0,N
85,QC,401,5/27/2016,M,1.868,Before,9/19/2016,1210,NMP,0,0,0,0,0,0,0,0,0,0,0,N
85,QC,401,5/27/2016,M,1.868,After,9/10/2016,1000,NMP,0,0,0,1,0,0,0,0,0,0,0,N
86,QC,411,6/15/2016,M,1.882,Before,9/9/2016,1230,NMP,1,0,3,0,0,0,0,0,0,0,0,N
86,QC,411,6/15/2016,M,1.882,After,9/10/2016,1000,NMP,1,0,20,2,0,0,0,0,0,0,0,N
87,CQ,431,6/23/2016,M,1.671,Before,9/9/2016,1230,NMP,0,0,0,0,0,0,0,0,0,0,0,N
87,CQ,431,6/23/2016,M,1.671,After,9/10/2016,1000,NMP,0,0,0,2,0,0,0,0,0,0,0,N
89,CQ,438,5/20/2016,M,1.659,Before,9/12/2016,1300,NMP,0,0,0,2,1,0,0,0,0,0,0,N
90,CQ,426,5/3/2016,M,1.658,Before,9/12/2016,1300,NMP,0,0,11,1,0,0,0,0,0,0,0,N
91,CQ,431,5/27/2016,M,1.698,Before,9/12/2016,1300,NMP,0,0,0,0,0,0,0,0,0,0,0,N
92,CQ,438,5/3/2016,M,1.59,Before,9/12/2016,1315,NMP,0,3,16,0,3,1,0,0,0,0,0,N
93,CQ,405,5/27/2016,M,1.772,Before,9/12/2016,1315,NMP,1,0,4,1,0,0,0,0,0,0,0,N
94,CQ,438,5/20/2016,M,1.67,Before,9/18/2016,1315,NMP,3,3,20,4,1,1,0,0,0,0,0,N
105,QC,424,5/26/2016,M,1.811,Before,9/15/2016,1315,NMP,0,0,15,1,0,0,0,0,0,0,0,N
105,QC,424,5/26/2016,M,1.811,After,9/14/2016,810,NMP,0,0,4,0,0,0,0,0,0,0,0,N
106,QH,401,6/23/2016,M,1.811,After,9/14/2016,810,NMP,1,3,10,2,1,0,0,0,0,0,0,N
107,QC,434,6/20/2016,M,1.755,Before,9/13/2016,1330,NMP,3,0,14,2,1,0,1,0,0,1.108,1.108,N
107,QC,434,6/20/2016,M,1.755,After,9/14/2016,810,NMP,0,0,22,0,1,0,1,0,0,1.29,1.29,N
108,QC,424,6/23/2016,M,1.951,Before,9/13/2016,1330,NMP,1,0,9,0,0,0,0,0,0,0,0,N
108,QC,424,6/23/2016,M,1.951,After,9/14/2016,810,NMP,0,0,2,3,0,0,0,0,0,0,0,N
110,CQ,409,6/15/2016,M,1.756,Before,9/14/2016,NA,NMP,0,2,22,1,0,0,1,0,0,1.048,1.048,N
110,CQ,409,6/15/2016,M,1.756,After,9/15/2016,1400,NMP,1,3,20,0,10,4,0,0,0,0,0,N
111,CM,420,6/6/2016,M,1.909,Before,9/14/2016,1300,NMP,0,0,3,1,0,0,0,0,0,0,0,N
111,CM,420,6/6/2016,M,1.909,After,9/15/2016,1400,NMP,0,0,9,1,0,0,0,0,0,0,0,N
112,CQ,401,6/6/2016,M,1.839,Before,9/14/2016,1310,NMP,0,0,10,0,0,0,2,0,0,4.14,2.07,N
112,CQ,401,6/6/2016,M,1.839,After,9/15/2016,1400,NMP,0,0,5,1,0,0,0,0,0,0,0,N
114,CQ,401,6/6/2016,M,1.623,Before,9/14/2016,1310,NMP,1,0,5,0,0,0,0,0,0,0,0,N
115,QC,434,6/10/2016,M,1.853,Before,9/14/2016,1300,NMP,0,0,12,0,0,0,0,0,0,0,0,N
115,QC,434,6/10/2016,M,1.853,After,9/15/2016,1415,NMP,0,10,28,0,5,3,1,0,0,3.892,3.892,N
116,CQ,409,6/15/2016,M,1.674,Before,9/14/2016,1300,NMP,1,0,25,1,0,0,2,0,0,3.836,1.918,N
116,CQ,409,6/15/2016,M,1.674,After,9/15/2016,1415,NMP,0,11,14,0,0,2,0,1,0,0,0,Y
117,CQ,431,6/6/2016,M,1.906,Before,9/16/2016,1545,NMP,0,0,1,1,0,0,0,0,0,0,0,N
117,CQ,431,6/6/2016,M,1.906,After,9/16/2016,830,NMP,1,0,3,1,0,0,0,0,0,0,0,N
119,CQ,426,6/6/2016,M,1.58,Before,9/15/2016,1545,NMP,0,0,3,1,0,0,0,0,0,0,0,N
119,CQ,426,6/6/2016,M,1.58,After,9/16/2016,830,NMP,0,3,11,2,1,2,0,0,0,0,0,N
120,QC,434,6/10/2016,M,1.897,Before,9/15/2016,1545,NMP,1,0,10,0,0,0,0,0,0,0,0,N
120,QC,434,6/10/2016,M,1.897,After,9/16/2016,820,NMP,0,3,17,1,1,0,0,0,0,0,0,N
121,CQ,431,6/6/2016,M,1.794,Before,9/15/2016,1545,NMP,0,0,3,0,0,0,0,0,0,0,0,N
121,CQ,431,6/6/2016,M,1.794,After,9/16/2016,820,NMP,0,3,6,2,0,1,1,0,0,1.154,1.154,N
123,CQ,426,6/6/2016,M,1.538,Before,9/15/2016,1600,NMP,0,2,2,0,2,3,1,0,0,1.03,1.03,N
123,CQ,426,6/6/2016,M,1.538,After,9/16/2016,820,NMP,0,0,1,0,0,0,0,0,0,0,0,N
124,QC,434,6/10/2016,M,1.783,Before,9/15/2016,1600,NMP,0,0,0,1,0,0,0,0,0,0,0,N
